title,price,rating,reviews,availability
One Piece Odyssey - PlayStation 4,$59.99,Previous page of related Sponsored Products,,"This item will be released on January 13, 2023."
Sony Playstation PS4 1TB Black Console,$459.90,4.7 out of 5 stars,895 ratings,Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,182 ratings",Only 2 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,796 ratings",
"PS4 Controller Charger, Upgraded Fast-Charging Port Docking Station Stand for PS4/PS4 Slim/PS4 Pro Controller, Black",,4.6 out of 5 stars,"3,873 ratings",Not Available
"BlueFire Stereo Gaming Headset for PS4, PS5, PC, Xbox One, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Nintendo Switch Games (Blue)",,4.3 out of 5 stars,"1,492 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,238 ratings",
Sony Playstation 4 Slim Video Game Console 500GB Jet Black PS4,,4.5 out of 5 stars,238 ratings,Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.5 out of 5 stars,251 ratings,Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,594 ratings",Only 1 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,296 ratings,Not Available
PlayStation 4 Slim 1TB Gold Console [Discontinued],,4.6 out of 5 stars,708 ratings,Only 1 left in stock - order soon.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"142,288 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"142,288 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$64.00,4.7 out of 5 stars,"142,288 ratings",Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,755 ratings",Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.2 out of 5 stars,631 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$59.99,4.7 out of 5 stars,"142,288 ratings",In Stock.
【Upgraded】 Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.6 out of 5 stars,81 ratings,Not Available
"OUBANG 2 Pack Controllers Work with PS4 Controller, Wireless Remote Compatible with Playstation 4 Controller, Game Control for PS4 Pro with Joystick, Pa4 Controller for PS4 Slim/PC Camo Gray Gift Men",,4.3 out of 5 stars,18 ratings,Not Available
"Replacement for PS4 Controller,TOPAD 2 Pack Wireless Controller Work with Playstation 4 Controller for PS4 Controller/Slim/Pro/PC, Remote Joystick Gamepad Control w/Charging Cable, White & Blue",,4.4 out of 5 stars,58 ratings,Not Available
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1200mAH Battery, 6-Axis Gyro Sensor, Game Controller (Blue Cloud)",$28.99,4.8 out of 5 stars,12 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$59.99,4.7 out of 5 stars,"142,288 ratings",In Stock.
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"1,318 ratings",Available by invitation
Sonic Frontiers - PlayStation 4,$39.99,4.7 out of 5 stars,109 ratings,In Stock.
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,755 ratings",Not Available
"PS4 Wireless Controller, C200 Gamepad DualShock 4 Console for Playstation 4 Touch Panel Joypad with Dual Vibration Game Remote Control Joystick",,4.0 out of 5 stars,"1,148 ratings",Not Available
NBA 2K23 - PlayStation 4,$24.99,4.6 out of 5 stars,588 ratings,
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.2 out of 5 stars,631 ratings,Not Available
Chronos: Before The Ashes - PlayStation 4,$29.99,4.1 out of 5 stars,130 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$27.99,3.5 out of 5 stars,13 ratings,Not Available
Vikings - Wolves of Midgard - PlayStation 4,$59.48,3.9 out of 5 stars,205 ratings,Not Available
